scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,9700001,9750000,9724261,681,213,2.7674,13.8098,-0.6661,-0.3722,-0.1617
Z,9750001,9800000,9777776,630,235,0.6036,52.5438,-0.9773,-2.5747,-0.7107
Z,9800001,9850000,9826305,893,273,3.0282,43.8092,-0.8707,-1.7912,-0.4932
Z,9850001,9900000,9874846,705,194,0.2111,26.8072,-0.9844,-2.7034,-0.6804
Z,9900001,9950000,9925296,643,186,0.2091,19.01,-0.9782,-0.9531,-0.4712
Z,9950001,10000000,9976635,728,286,10.4993,22.1595,-0.357,-0.1612,-0.1013
Z,10000001,10050000,10021929,871,257,3.242,23.458,-0.7572,-0.8299,-0.3598
Z,10050001,10100000,10073780,898,281,1.3659,36.8574,-0.9285,-1.3575,-0.4927
Z,10100001,10150000,10123283,738,259,31.2664,12.0769,0.4427,0.2884,0.1874
Z,10150001,10200000,10176134,613,189,12.4503,5.6946,0.3723,0.2131,0.097
Z,10200001,10250000,10224636,712,244,1.638,2.3402,-0.1765,-0.0288,-0.0099
Z,10250001,10300000,10276311,683,236,10.1304,2.9669,0.5469,0.1369,0.0706
Z,10300001,10350000,10325047,726,288,8.3461,5.9444,0.1681,0.0389,0.0211
Z,10350001,10400000,10375129,671,227,2.5676,8.6285,-0.5413,-0.1966,-0.1067
Z,10400001,10450000,10424131,746,176,0.178,45.0094,-0.9921,-11.3532,-0.8877
Z,10450001,10500000,10475363,738,149,1.5393,36.3086,-0.9187,-2.64,-0.5506
Z,10500001,10550000,10525042,699,212,1.2711,5.5057,-0.6249,-1.2135,-0.0629
Z,10550001,10600000,10574627,890,251,1.0064,15.7335,-0.8798,61.334,-0.201
Z,10600001,10650000,10625305,675,235,3.2528,18.5818,-0.702,-0.5474,-0.223
Z,10650001,10700000,10675517,683,197,2.148,1.7371,0.1058,0.0214,0.0075
Z,10700001,10750000,10723258,614,167,12.713,3.6921,0.5499,0.2333,0.1651
Z,10750001,10800000,10776209,736,197,4.2867,0.2318,0.8974,0.1115,0.1073
Z,10800001,10850000,10825767,628,232,0.0791,1.0398,-0.8586,0.114,-0.0239
Z,10850001,10900000,10875313,622,170,0.0,1.1636,-1.0,0.5367,-0.0343
Z,10900001,10950000,10923674,715,217,0.0,0.0247,-1.0,-0.0045,-0.0008
Z,10950001,11000000,10971524,774,284,0.6523,0.0417,0.8799,0.7704,0.0097
