scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,61000001,61050000,61008362,218,27,0.2778,0.6032,-0.3694,-0.027,-0.0231
Z,61050001,61100000,61084027,10,4,0.5833,0.1667,0.5556,0.2885,0.2381
Z,61150001,61200000,61196529,43,1,0.0,0.0,nan,0.0,0.0
Z,61200001,61250000,61225736,830,248,8.3557,2.9437,0.479,0.092,0.0594
Z,61250001,61300000,61278011,768,238,5.205,4.4458,0.0787,0.0184,0.01
Z,61300001,61350000,61326337,855,324,7.8638,9.3329,-0.0854,-0.0311,-0.014
Z,61350001,61400000,61374873,782,287,6.7922,9.6139,-0.172,-0.0657,-0.0324
Z,61400001,61450000,61424445,761,225,1.929,6.652,-0.5504,-0.1405,-0.0679
Z,61450001,61500000,61472312,778,200,2.7222,7.7895,-0.4821,-0.4873,-0.0881
Z,61500001,61550000,61524367,788,197,8.216,0.5267,0.8795,0.1105,0.0785
Z,61550001,61600000,61577071,518,146,8.4468,0.3651,0.9171,0.1863,0.097
Z,61600001,61650000,61623891,512,126,0.0,0.0,nan,0.0,0.0
Z,61650001,61700000,61674598,509,160,0.25,0.4167,-0.25,-0.0054,-0.0051
Z,61700001,61750000,61724914,511,226,1.9259,6.3104,-0.5323,-0.1315,-0.1021
Z,61750001,61800000,61775701,586,250,4.8391,0.2037,0.9192,0.1065,0.0993
Z,61800001,61850000,61823245,529,223,0.7087,0.1806,0.5939,0.0078,0.0071
Z,61850001,61900000,61873107,612,234,1.9024,2.8134,-0.1932,-0.0182,-0.0157
Z,61900001,61950000,61925390,514,214,16.3361,0.4021,0.952,0.4219,0.3931
Z,61950001,62000000,61974408,400,70,0.6821,13.2191,-0.9019,14.921,-0.5158
Z,62000001,62050000,62024296,435,79,0.0625,3.9992,-0.9692,-0.7595,-0.307
Z,62050001,62100000,62074288,480,39,0.0,8.2508,-1.0,-16.2492,-0.7383
Z,62100001,62150000,62123775,403,53,0.0,3.3312,-1.0,-1.2129,-0.3917
Z,62150001,62200000,62177610,400,62,0.0262,0.5231,-0.9045,-0.0573,-0.0527
Z,62200001,62250000,62224511,415,102,0.0,0.0,nan,0.0,0.0
Z,62250001,62300000,62274411,439,83,23.8603,0.1667,0.9861,0.3853,0.3546
Z,62300001,62350000,62325233,391,64,5.4167,0.1667,0.9403,0.363,0.3177
Z,62350001,62400000,62376443,785,207,0.8333,3.1984,-0.5866,-0.1972,-0.0688
Z,62400001,62450000,62424926,715,248,3.1857,3.411,-0.0342,-0.0063,-0.0035
Z,62450001,62500000,62474215,618,153,0.0,0.0,nan,0.0,0.0
Z,62500001,62550000,62523626,510,152,2.1065,0.5556,0.5826,0.0738,0.0612
Z,62550001,62600000,62575725,516,165,3.9352,4.9562,-0.1148,-0.0375,-0.0139
Z,62600001,62650000,62623552,496,166,0.0,0.0,nan,0.0,0.0
Z,62650001,62700000,62676139,534,104,1.6111,2.4877,-0.2139,-0.0667,-0.0372
Z,62700001,62750000,62726078,618,161,6.081,5.9383,0.0119,0.0034,0.0022
Z,62750001,62800000,62768681,414,182,3.6917,3.9356,-0.032,-0.0077,-0.0057
Z,62800001,62850000,62826138,779,305,2.159,7.2781,-0.5424,-0.146,-0.105
Z,62850001,62900000,62872740,513,153,1.2253,1.0062,0.0982,0.0046,0.0031
Z,62900001,62950000,62927562,556,219,0.0556,35.7307,-0.9969,-1.4748,-0.3889
Z,62950001,63000000,62974899,713,171,8.2708,13.0031,-0.2224,-0.1173,-0.0641
Z,63000001,63050000,63026070,691,277,11.4668,8.2765,0.1616,0.0532,0.0339
Z,63050001,63100000,63075279,633,189,1.12,1.4718,-0.1358,-0.0238,-0.017
Z,63100001,63150000,63126127,451,127,0.0,1.3272,-1.0,-0.1505,-0.1054
Z,63150001,63200000,63173327,738,183,0.5737,2.4911,-0.6256,-0.1054,-0.0745
Z,63200001,63250000,63224882,684,166,9.5123,5.5093,0.2665,0.1149,0.0952
Z,63250001,63300000,63276524,654,147,15.4701,2.156,0.7554,0.3515,0.2928
Z,63300001,63350000,63322840,612,163,7.9616,1.3945,0.7019,0.2457,0.2044
Z,63350001,63400000,63374350,572,202,3.8434,11.1176,-0.4862,-0.9895,-0.218
Z,63400001,63450000,63423562,530,84,1.6736,0.0,1.0,0.0824,0.0801
Z,63450001,63500000,63476337,541,127,0.0,0.0,nan,0.0,0.0
Z,63500001,63550000,63526404,883,182,0.3889,0.3022,0.1254,0.0067,0.0053
Z,63550001,63600000,63573099,918,228,4.0318,6.9931,-0.2686,-0.0797,-0.0372
Z,63600001,63650000,63625872,792,257,10.6022,11.7014,-0.0493,-0.0163,-0.0095
Z,63650001,63700000,63672410,712,218,4.311,9.7361,-0.3862,-0.1042,-0.057
Z,63700001,63750000,63724273,673,158,0.1111,4.9753,-0.9563,-0.5347,-0.0875
Z,63750001,63800000,63775779,681,144,0.0,2.1806,-1.0,-0.7239,-0.0312
Z,63800001,63850000,63826925,615,180,0.1296,10.5556,-0.9757,-0.4572,-0.1353
Z,63850001,63900000,63873991,807,162,1.8519,0.0,1.0,0.0453,0.0404
Z,63900001,63950000,63928730,787,253,8.9461,0.0556,0.9877,0.1698,0.168
Z,63950001,64000000,63972728,774,246,8.1215,1.5926,0.6721,0.2936,0.1394
Z,64000001,64050000,64025263,700,224,0.6667,7.1319,-0.829,-0.3368,-0.0666
Z,64050001,64100000,64072589,686,218,0.0,10.2636,-1.0,-0.3974,-0.1222
Z,64100001,64150000,64125214,801,266,9.2477,13.5772,-0.1897,-0.1145,-0.0438
Z,64150001,64200000,64173526,607,173,2.5841,11.9522,-0.6445,-0.3815,-0.1554
Z,64200001,64250000,64223940,656,197,3.1389,14.4634,-0.6434,-0.4172,-0.1602
Z,64250001,64300000,64274476,692,209,8.1265,6.5664,0.1062,0.0517,0.022
Z,64300001,64350000,64324041,823,276,10.6339,2.3772,0.6346,0.1398,0.1143
Z,64350001,64400000,64368911,639,171,2.315,6.0009,-0.4432,-0.2358,-0.1185
Z,64400001,64450000,64439492,143,16,0.1111,0.0683,0.2387,0.0383,0.0271
Z,64450001,64500000,64477402,889,301,5.5431,12.2375,-0.3765,-0.2266,-0.0683
Z,64500001,64550000,64523180,1273,385,27.5253,3.4462,0.7775,0.3738,0.1703
Z,64550001,64600000,64573711,882,295,24.1557,3.5956,0.7409,0.4403,0.2387
Z,64600001,64650000,64624702,953,524,19.4933,10.2742,0.3097,0.1436,0.0796
