scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,8650001,8700000,8674377,955,405,13.7989,9.2476,0.1975,0.0475,0.0396
Z,8700001,8750000,8724999,794,276,7.6624,2.8152,0.4626,0.0691,0.0579
Z,8750001,8800000,8773744,811,303,8.9921,15.7012,-0.2717,-0.0749,-0.0601
Z,8800001,8850000,8826635,671,201,4.4228,14.059,-0.5214,-0.2696,-0.1868
Z,8850001,8900000,8875218,921,317,6.0241,8.6847,-0.1809,-0.0384,-0.0314
Z,8900001,8950000,8926349,900,319,3.944,2.6145,0.2027,0.0273,0.0203
Z,8950001,9000000,8973895,852,304,4.4755,3.5523,0.115,0.013,0.0104
Z,9000001,9050000,9023807,1143,499,1.9195,9.5417,-0.665,-0.0602,-0.05
Z,9050001,9100000,9072340,799,292,5.6863,3.8186,0.1965,0.0211,0.0188
Z,9100001,9150000,9128272,784,300,15.7124,8.0836,0.3206,0.1034,0.0853
Z,9150001,9200000,9174856,923,260,8.5991,7.0991,0.0956,0.0215,0.0163
Z,9200001,9250000,9223584,768,274,5.0401,9.5347,-0.3084,-0.0499,-0.0403
Z,9250001,9300000,9276730,836,250,2.5772,10.1129,-0.5938,-0.0943,-0.0752
Z,9300001,9350000,9326189,945,284,7.6387,5.2498,0.1853,0.0371,0.0271
Z,9350001,9400000,9374230,827,291,3.6962,9.5964,-0.4439,-0.144,-0.0868
Z,9400001,9450000,9424543,826,251,0.0,0.0,nan,0.0,0.0
Z,9450001,9500000,9476776,844,250,10.022,1.7205,0.707,0.4206,0.2388
Z,9500001,9550000,9525194,936,345,4.55,12.793,-0.4753,-0.0769,-0.0639
Z,9550001,9600000,9574043,783,260,5.4697,7.269,-0.1413,-0.0408,-0.0288
Z,9600001,9650000,9626493,746,219,7.701,5.2242,0.1916,0.0522,0.0387
Z,9650001,9700000,9673492,775,177,0.2102,19.5428,-0.9787,-0.5562,-0.3077
Z,9700001,9750000,9724261,681,213,13.8098,4.1146,0.5409,0.1734,0.1394
Z,9750001,9800000,9777776,630,235,52.5438,1.5039,0.9444,0.9423,0.6887
Z,9800001,9850000,9826305,893,273,43.8092,1.9223,0.9159,0.6091,0.5137
Z,9850001,9900000,9874846,705,194,26.8072,0.3305,0.9756,0.9331,0.6786
Z,9900001,9950000,9925296,643,186,19.01,0.0413,0.9957,0.9032,0.4777
Z,9950001,10000000,9976635,728,286,22.1595,5.7361,0.5887,0.171,0.1489
Z,10000001,10050000,10021929,871,257,23.458,2.8448,0.7837,0.4438,0.3655
Z,10050001,10100000,10073780,898,281,36.8574,2.997,0.8496,0.5658,0.4551
Z,10100001,10150000,10123283,738,259,12.0769,2.8562,0.6175,0.1358,0.1247
Z,10150001,10200000,10176134,613,189,5.6946,2.3917,0.4085,0.0592,0.0553
Z,10200001,10250000,10224636,712,244,2.3402,15.9495,-0.7441,-0.2136,-0.1602
Z,10250001,10300000,10276311,683,236,2.9669,3.0461,-0.0132,-0.0009,-0.0008
Z,10300001,10350000,10325047,726,288,5.9444,9.3149,-0.2209,-0.0332,-0.0294
Z,10350001,10400000,10375129,671,227,8.6285,3.4094,0.4336,0.1,0.0905
Z,10400001,10450000,10424131,746,176,45.0094,0.5035,0.9779,0.965,0.8782
Z,10450001,10500000,10475363,738,149,36.3086,2.8618,0.8539,0.5469,0.5189
Z,10500001,10550000,10525042,699,212,5.5057,8.5107,-0.2144,-0.0482,-0.0404
Z,10550001,10600000,10574627,890,251,15.7335,18.491,-0.0806,-0.0425,-0.0302
Z,10600001,10650000,10625305,675,235,18.5818,10.5376,0.2762,0.1451,0.1052
Z,10650001,10700000,10675517,683,197,1.7371,16.5316,-0.8098,-0.3217,-0.2151
Z,10700001,10750000,10723258,614,167,3.6921,9.3376,-0.4333,-0.1463,-0.1074
Z,10750001,10800000,10776209,736,197,0.2318,1.2703,-0.6914,-0.0448,-0.0297
Z,10800001,10850000,10825767,628,232,1.0398,57.6565,-0.9646,-1.6642,-0.5809
Z,10850001,10900000,10875313,622,170,1.1636,16.9066,-0.8712,-0.5726,-0.3104
Z,10900001,10950000,10923674,715,217,0.0247,7.5583,-0.9935,-0.3643,-0.1988
Z,10950001,11000000,10971524,774,284,0.0417,20.0099,-0.9958,-0.3825,-0.2429
Z,11000001,11050000,11024280,904,291,29.1137,1.3526,0.9112,0.5078,0.3906
Z,11050001,11100000,11076438,995,271,17.3849,3.788,0.6422,0.176,0.1287
Z,11100001,11150000,11122462,735,235,11.3349,11.5579,-0.0097,-0.0024,-0.0017
Z,11150001,11200000,11176507,617,166,0.0,0.9762,-1.0,-0.0269,-0.0183
Z,11200001,11250000,11226468,676,163,44.4994,0.0645,0.9971,0.8949,0.7801
Z,11250001,11300000,11273341,805,205,21.3566,0.2365,0.9781,0.9309,0.4734
Z,11300001,11350000,11325454,548,125,52.1094,0.1986,0.9924,0.9732,0.9544
Z,11350001,11400000,11373147,548,96,14.6968,0.3331,0.9557,0.9,0.7283
Z,11400001,11450000,11426207,597,122,27.5615,0.0,1.0,0.965,0.7463
Z,11450001,11500000,11476040,741,182,0.7202,0.1111,0.7327,0.0323,0.0121
Z,11500001,11550000,11521728,734,157,0.0956,0.7958,-0.7856,-0.0144,-0.0081
Z,11550001,11600000,11569146,483,89,2.4414,0.1636,0.8744,0.0534,0.0532
Z,11600001,11650000,11625497,673,171,0.0,0.0,nan,0.0,0.0
Z,11650001,11700000,11674951,626,160,0.5617,1.5062,-0.4567,-0.094,-0.0525
Z,11700001,11750000,11724437,690,168,5.6019,2.9421,0.3113,0.0721,0.0668
Z,11750001,11800000,11775255,549,131,3.9361,1.1236,0.5559,0.0685,0.0582
Z,11800001,11850000,11825679,655,108,10.8735,0.2028,0.9634,0.4546,0.339
Z,11850001,11900000,11875553,604,128,5.994,0.3875,0.8786,0.6717,0.6358
Z,11900001,11950000,11926935,773,220,18.6605,3.1922,0.7078,0.5682,0.438
Z,11950001,12000000,11976407,711,190,7.56,8.8358,-0.0778,-0.0321,-0.0238
Z,12000001,12050000,12027305,576,145,1.039,7.5154,-0.7571,-0.4201,-0.2788
Z,12050001,12100000,12074716,756,234,2.3662,4.4302,-0.3037,-0.0686,-0.0585
